Date,Price of tar
1998-01-01,98.6
1998-02-01,98.4
1998-03-01,98.3
1998-04-01,99.0
1998-05-01,99.5
1998-06-01,99.3
1998-07-01,99.7
1998-08-01,100.1
1998-09-01,100.3
1998-10-01,100.5
1998-11-01,100.1
1998-12-01,99.1
1999-01-01,98.7
1999-02-01,98.7
1999-03-01,97.9
1999-04-01,99.3
1999-05-01,98.2
1999-06-01,97.5
1999-07-01,98.1
1999-08-01,98.7
1999-09-01,99.4
1999-10-01,99.4
1999-11-01,100.4
1999-12-01,100.7
2000-01-01,100.5
2000-02-01,99.3
2000-03-01,100.5
2000-04-01,103.2
2000-05-01,104.7
2000-06-01,105.6
2000-07-01,106.4
2000-08-01,106.6
2000-09-01,104.3
2000-10-01,105.6
2000-11-01,104.6
2000-12-01,105.1
2001-01-01,104.4
2001-02-01,103.9
2001-03-01,104.1
2001-04-01,105.1
2001-05-01,105.4
2001-06-01,106.7
2001-07-01,108.0
2001-08-01,108.3
2001-09-01,109.7
2001-10-01,110.3
2001-11-01,110.4
2001-12-01,110.2
2002-01-01,110.4
2002-02-01,109.9
2002-03-01,109.1
2002-04-01,108.8
2002-05-01,111.8
2002-06-01,112.0
2002-07-01,111.4
2002-08-01,112.8
2002-09-01,111.3
2002-10-01,110.8
2002-11-01,109.4
2002-12-01,108.4
2003-01-01,108.8
2003-02-01,109.1
2003-03-01,114.2
2003-04-01,116.3
2003-05-01,118.9
2003-06-01,117.6
2003-07-01,117.0
2003-08-01,115.9
2003-09-01,114.9
2003-10-01,114.3
2003-11-01,115.4
2003-12-01,114.1
2004-01-01,112.9
2004-02-01,112.5
2004-03-01,111.4
2004-04-01,114.1
2004-05-01,115.8
2004-06-01,113.9
2004-07-01,115.6
2004-08-01,115.6
2004-09-01,117.5
2004-10-01,116.7
2004-11-01,120.7
2004-12-01,119.5
2005-01-01,116.0
2005-02-01,119.4
2005-03-01,120.1
2005-04-01,127.4
2005-05-01,128.9
2005-06-01,128.8
2005-07-01,133.6
2005-08-01,133.7
2005-09-01,134.9
2005-10-01,135.5
2005-11-01,139.1
2005-12-01,138.9
2006-01-01,141.1
2006-02-01,140.2
2006-03-01,139.8
2006-04-01,141.8
2006-05-01,140.1
2006-06-01,139.6
2006-07-01,141.0
2006-08-01,142.1
2006-09-01,145.2
2006-10-01,145.0
2006-11-01,144.5
2006-12-01,146.1
2007-01-01,147.5
2007-02-01,146.6
2007-03-01,142.8
2007-04-01,144.1
2007-05-01,143.6
2007-06-01,142.7
2007-07-01,144.1
2007-08-01,145.5
2007-09-01,143.5
2007-10-01,144.8
2007-11-01,144.8
2007-12-01,149.4
2008-01-01,143.3
2008-02-01,139.3
2008-03-01,141.0
2008-04-01,149.4
2008-05-01,152.9
2008-06-01,162.7
2008-07-01,180.7
2008-08-01,196.0
2008-09-01,207.8
2008-10-01,219.7
2008-11-01,221.4
2008-12-01,233.2
2009-01-01,229.0
2009-02-01,209.7
2009-03-01,226.3
2009-04-01,228.9
2009-05-01,226.0
2009-06-01,223.7
2009-07-01,221.3
2009-08-01,213.5
2009-09-01,217.8
2009-10-01,218.9
2009-11-01,217.8
2009-12-01,217.2
2010-01-01,212.3
2010-02-01,214.9
2010-03-01,219.4
2010-04-01,221.9
2010-05-01,223.5
2010-06-01,225.7
2010-07-01,228.7
2010-08-01,226.0
2010-09-01,223.0
2010-10-01,220.4
2010-11-01,220.6
2010-12-01,222.6
2011-01-01,221.3
2011-02-01,222.1
2011-03-01,217.3
2011-04-01,219.3
2011-05-01,226.8
2011-06-01,232.2
2011-07-01,244.4
2011-08-01,241.2
2011-09-01,238.8
2011-10-01,235.0
2011-11-01,226.3
2011-12-01,228.9
2012-01-01,228.4
2012-02-01,211.1
2012-03-01,208.0
2012-04-01,218.0
2012-05-01,224.1
2012-06-01,231.5
2012-07-01,232.2
2012-08-01,228.6
2012-09-01,233.9
2012-10-01,234.6
2012-11-01,228.8
2012-12-01,227.7
2013-01-01,227.5
2013-02-01,225.5
2013-03-01,224.7
2013-04-01,234.4
2013-05-01,237.1
2013-06-01,241.8
2013-07-01,239.8
2013-08-01,240.9
2013-09-01,244.0
2013-10-01,240.7
2013-11-01,229.2
2013-12-01,227.3
2014-01-01,226.0
2014-02-01,225.1
2014-03-01,229.4
2014-04-01,232.6
2014-05-01,231.4
2014-06-01,229.2
2014-07-01,227.2
2014-08-01,224.2
2014-09-01,222.9
2014-10-01,233.5
2014-11-01,232.0
2014-12-01,232.5
2015-01-01,231.7
2015-02-01,228.8
2015-03-01,226.8
2015-04-01,226.7
2015-05-01,222.7
2015-06-01,226.9
2015-07-01,227.3
2015-08-01,230.3
2015-09-01,227.8
2015-10-01,228.1
2015-11-01,226.3
2015-12-01,227.8
2016-01-01,225.0
2016-02-01,224.1
2016-03-01,224.1
2016-04-01,226.3
2016-05-01,225.2
2016-06-01,227.7
2016-07-01,228.8
2016-08-01,230.3
2016-09-01,224.8
2016-10-01,227.2
2016-11-01,224.9
2016-12-01,225.9
2017-01-01,225.4
2017-02-01,219.5
2017-03-01,221.9
2017-04-01,225.7
2017-05-01,222.4
2017-06-01,224.7
2017-07-01,225.8
2017-08-01,225.9
2017-09-01,227.5
2017-10-01,227.9
2017-11-01,227.6
2017-12-01,229.3
2018-01-01,229.7
2018-02-01,221.9
2018-03-01,223.8
2018-04-01,231.5
2018-05-01,237.0
2018-06-01,239.3
2018-07-01,237.6
2018-08-01,241.3
2018-09-01,248.3
2018-10-01,251.4
2018-11-01,249.8
2018-12-01,254.2
2019-01-01,251.2
2019-02-01,249.6
2019-03-01,242.5
2019-04-01,248.5
2019-05-01,250.8
2019-06-01,248.5
2019-07-01,248.9
2019-08-01,250.3
2019-09-01,248.3
2019-10-01,247.6
2019-11-01,252.0
2019-12-01,252.3
2020-01-01,253.4
2020-02-01,250.9
2020-03-01,255.6
2020-04-01,251.9
2020-05-01,248.6
2020-06-01,251.0
2020-07-01,256.9
2020-08-01,254.7
2020-09-01,261.2
2020-10-01,251.7
2020-11-01,259.9
2020-12-01,258.7
2021-01-01,261.0
2021-02-01,260.3
2021-03-01,264.4
2021-04-01,270.7
2021-05-01,280.2
2021-06-01,282.2
2021-07-01,284.835
2021-08-01,294.579
2021-09-01,296.434
2021-10-01,296.263
2021-11-01,305.808
